concept,covered,distance,source,page,priority?
limit order book,True,0.604126,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",157,True
market depth,False,0.804712,"Mind over markets - power trading with market generated -- James F_ Dalton, Eric T_ Jones, Robert Bevan Dalton -- 2nd edition, May 25, 1999 -- Traders.pdf",95,True
order book imbalance,False,0.7047969,Pairs trading quantitative methods and analysis.pdf,7,False
order matching engine,False,0.95770377,"The structure of clearing and settlement -- David Loader (Auth_) -- Clearing, Settlement and Custody, 2, 2014 -- Elsevier Science & Technology Books.pdf",37,True
price discovery,False,0.81910723,"The xVA Challenge- Counterparty Credit Risk, Funding, -- Jon Gregory -- The Wiley Finance Series, 3rd Edition 2015, 2015 -- Wiley & Sons, Limited.pdf",406,True
bid-ask spread,True,0.5897287,"Optimal trading strategies - quantitative approaches for -- Robert Kissell; Morton Glantz; Roberto Malamut -- 1st, First Edition, PS, 2003.pdf",394,True
tick size,False,0.7823049,market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,122,False
quote stuffing,False,0.83947337,"Advances in Financial Machine Learning by López de Prado, Marcos -- 2018 .pdf",320,True
market impact,True,0.45835614,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",165,True
adverse selection,True,0.60887945,risk management and financial institutions.pdf,87,True
hidden liquidity,False,0.6825243,"The structure of clearing and settlement -- David Loader (Auth_) -- Clearing, Settlement and Custody, 2, 2014 -- Elsevier Science & Technology Books.pdf",191,True
latency arbitrage,False,0.8681989,gpt deep dive gaps.pdf,86,True
maker-taker fees,False,0.7884743,Trading-Volatility.pdf,198,False
high-frequency trading,True,1.882928e-13,high frequency trading Irene.pdf,29,False
flash crash dynamics,False,0.8602115,"Advances in Financial Machine Learning by López de Prado, Marcos -- 2018 .pdf",306,True
order book spoofing,False,0.83289206,gpt deep dive gaps.pdf,100,True
fill probability,False,1.0025375,risk management and financial institutions.pdf,503,True
queue position,False,0.85878205,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",158,True
liquidity fragmentation,True,0.6029306,ChatGPT Advanced Trading Handbook.pdf,8,True
trading halts,False,0.68915683,gpt deep dive gaps.pdf,34,True
short-term auction effects,True,0.57048154,"Mind over markets - power trading with market generated -- James F_ Dalton, Eric T_ Jones, Robert Bevan Dalton -- 2nd edition, May 25, 1999 -- Traders.pdf",280,True
execution algorithms,False,0.7398318,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",152,True
TWAP,False,0.97202396,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",104,True
VWAP,False,0.68506455,"Optimal trading strategies - quantitative approaches for -- Robert Kissell; Morton Glantz; Roberto Malamut -- 1st, First Edition, PS, 2003.pdf",297,True
implementation shortfall,False,0.85874194,"Optimal trading strategies - quantitative approaches for -- Robert Kissell; Morton Glantz; Roberto Malamut -- 1st, First Edition, PS, 2003.pdf",402,True
slippage,False,0.9829265,"Optimal trading strategies - quantitative approaches for -- Robert Kissell; Morton Glantz; Roberto Malamut -- 1st, First Edition, PS, 2003.pdf",13,True
smart order routing,False,1.0401385,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",89,True
parent/child order logic,False,0.8694167,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",153,True
iceberg orders,True,0.5476189,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",294,True
passive vs aggressive order flow,True,0.63041234,Order-Flow-Trading-Setups-1.pdf,79,False
cancel-replace ratio,False,1.1070834,"Advances in Financial Machine Learning by López de Prado, Marcos -- 2018 .pdf",392,True
execution latency,False,0.8083353,gpt deep dive gaps.pdf,22,True
fill ratio,False,1.0509928,gpt deep dive gaps.pdf,123,True
trade execution certainty,False,0.6784475,"The Financial Mathematics of Market Liquidity- From Optimal -- Gueant, Olivier -- Chapman & Hall-CRC financial mathematics series.pdf",299,True
trade sequencing,False,0.88780016,"The Art and Science of Technical Analysis- Market Structure, -- Adam Grimes -- 2012 -- Wiley.pdf",105,True
order flow imbalance,True,0.5007518,"Advances in Financial Machine Learning by López de Prado, Marcos -- 2018 .pdf",304,True
