concept,covered,distance,best_chunk,source,page
limit order book,False,0.61286414,85 Example #5: Big Limit Orders Example #6: Big Limit Orders...,Order-Flow-Trading-Setups-1.pdf,142
market depth,False,0.79757273,P A R T I I Market Structure...,"pcmbrokers_(Wiley finance series) Adam Grimes-The art and science of technical analysis _ market structure, price action, and trading strategies-J. Wiley  &  Sons  (2012).pdf",121
order book imbalance,False,0.7047969,29 2.4 Orderflow Imbalance The limit order book contains all the information available to investigat...,Pairs trading quantitative methods and analysis.pdf,7
order matching engine,False,0.9564235,18 Chapter 1. The organization of trading in stock markets Investor Trading Decision Broker Market m...,An Introduction to Microstructure Theory Andreaas Krause.pdf,39
price discovery,False,0.88669455,"optimally. Furthermore, an important byproduct of trading is “price discovery”. Prices reveal inform...",market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,41
bid-ask spread,False,0.774993,How could HFT lower the spread without changing execution costs? One major argument given by HFT pro...,market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,202
tick size,False,0.7823049,It is really obvious that most of S&P500 stocks with a price below $20 will have a nominal spread eq...,market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,122
quote stuffing,False,1.1529663,9  Quote stuffers: They engage in ‘latency arbitrage’. The strategy involves overwhelming an exchan...,Thomas N. Bulkowski-Encyclopedia Of Chart Patterns.pdf,459
market impact,False,0.7479218,"arXiv:0903.2428v1 [q-fin.TR] 13 Mar 2009 PRICE IMPACT J. P. Bouchaud, Capital Fund Management August...",PrinciplesofMacroeconomics-LR.pdf,48
adverse selection,True,0.52695984,"Average daily number of trades — The higher it is, the more active the trading on a stock. It contri...",Mark_Douglas_Trading_in_the_Zone.pdf,9
hidden liquidity,False,0.84192115,"Introduction University Press Scholarship Online Oxford Scholarship Online Market Liquidity: Theory,...",Market Liquidity Theory evidence Policy Alisa Roel Foucault Marco Pagano.pdf,38
latency arbitrage,False,0.7833861,Statistical Arbitrage...,STATISTICAL_CONSEQUENCES_OF_FAT_TAILS_TE.pdf,63
maker-taker fees,False,0.7884743,﻿Trading and Electronic Market﻿ 68 ©2015 The CFA Institute Research Foundation. All Rights Reserved...,Trading-Volatility.pdf,198
high-frequency trading,True,1.882928e-13,High-Frequency Trading...,high frequency trading Irene.pdf,29
flash crash dynamics,False,0.8106344,76 ©2015 The CFA Institute Research Foundation. All Rights Reserved. Appendix A. The Flash Crash Th...,Trading-Volatility.pdf,206
order book spoofing,False,0.9275874,"Every trade is shown to all other participants, and the order book moves in real time in response to...",The Basics of Bitcoins and Blockchains.pdf,319
fill probability,False,1.2199848,"66 SAMPLE WEIGHTS The procedure starts with 𝜑(0) = ∅, and a uniform distribution of probability, 𝛿i ...",Marcos Lopez de Prado - Advances in Financial Machine Learning-Wiley (2018).pdf,122
queue position,False,0.9293883,viii Contents 4.4 Order Arrivals and Cancellations 63 4.5 Order Size Distributions 66 4.6 Volume at ...,Trading algos and systems.pdf,428
liquidity fragmentation,False,0.6610404,Market Fragmentation entry fee on market orders until the end of July and even offered a rebate on t...,Market Liquidity Theory evidence Policy Alisa Roel Foucault Marco Pagano.pdf,267
trading halts,False,0.8188973,Trade Examples: Trading Parabolic Climaxes 325 D: “I have moved the stop to just below yesterday’s l...,"pcmbrokers_(Wiley finance series) Adam Grimes-The art and science of technical analysis _ market structure, price action, and trading strategies-J. Wiley  &  Sons  (2012).pdf",400
short-term auction effects,False,0.65770376,diﬀerences across the bidding patterns of dealers that do not vary from auction-to-auction. Note tha...,Order-Flow-Trading-Setups-1.pdf,28
execution algorithms,False,0.9111636,CHAPTER 20 Multiprocessing and Vectorization 20.1 MOTIVATION Multiprocessing is essential to ML. ML ...,Marcos Lopez de Prado - Advances in Financial Machine Learning-Wiley (2018).pdf,358
TWAP,False,1.2260106,Page 81 of 150 VWAP VWAP stands for Volume Weighted Average Price and is perhaps the most commonly u...,Unknown,0
VWAP,False,0.84968454,Page 81 of 150 VWAP VWAP stands for Volume Weighted Average Price and is perhaps the most commonly u...,Unknown,0
implementation shortfall,False,0.9336029,"Measuring Liquidity 103, then the implementation shortfall is To put this figure in perspective, con...",Market Liquidity Theory evidence Policy Alisa Roel Foucault Marco Pagano.pdf,96
slippage,False,1.1835549,"126 MARKET STRUCTURE increased volume, activity, and interest associated with the actual breakout. I...","pcmbrokers_(Wiley finance series) Adam Grimes-The art and science of technical analysis _ market structure, price action, and trading strategies-J. Wiley  &  Sons  (2012).pdf",199
smart order routing,False,0.9421593,Figure 1.13. Functional diagram of a smart order router. • It obtains a price better than or equal t...,market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,110
parent/child order logic,False,1.1584501,1.5. Trading priority rules 21 are executed ﬁrst and only after all market orders have been executed...,An Introduction to Microstructure Theory Andreaas Krause.pdf,42
iceberg orders,False,0.7304057,Page 84 of 150 ICEBERG ORDERS One of the tricks that traders use to disguise their intentions in the...,Unknown,0
passive vs aggressive order flow,False,0.63041234,22 Active and Passive in One Chart The distinction between passive and aggressive market participant...,Order-Flow-Trading-Setups-1.pdf,79
cancel-replace ratio,False,1.1860428,"www.Fxborssa.com Elliott Wave Theory 335 1/1 is 1.00, 1/2 is .50, 2/3 is .67, 3/5 is .60, 5/8 is .62...",Technical-Analysis-of-the-Futures-Markets-John-J.-Murphy.pdf,458
execution latency,False,0.9014811,﻿Trading and Electronic Market﻿ 54 ©2015 The CFA Institute Research Foundation. All Rights Reserved...,Trading-Volatility.pdf,184
fill ratio,False,1.1861695,"Figure 3.17. Typical fill rates (x-axis is the distance to the best opposite, y-axis is the expected...",market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,272
trade execution certainty,False,0.655064,Page 122 of 150 PROPER TRADE EXECUTION Proper trade execution is the ability to act on an opportunit...,Unknown,0
trade sequencing,False,0.8799474,Professor Larry Harris Trading and Exchanges Draft Copy ©2002 Oxford University Press Draft: March 5...,Trading-Volatility.pdf,312
