chunk_id,text_preview,source,page,timestamp,is_priority,cluster_id,cluster_label
0,THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS By Shawn Douglass and Tongtong Gong Getting...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,1,2025-04-17 01:44:54,,7,Market Liquidity
1,PAGE 2 | THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS $1T $12T $30T $40T $106T CRYPTO PR...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,2,2025-04-17 01:44:54,,7,Market Liquidity
2,"amberdata.io/contact-us | PAGE 3 Digital Assets, Blockchain and DeFi are Redefining Finance With for...",220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,3,2025-04-17 01:44:54,,7,Market Liquidity
3,PAGE 4 | THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS Why You Need Digital Asset Data An...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,4,2025-04-17 01:44:54,,1,Technical Analysis
4,amberdata.io/contact-us | PAGE 5 Development of original research on digital assets Research analyst...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,5,2025-04-17 01:44:54,,7,Market Liquidity
5,"PAGE 6 | THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS Compliance Of course, maintaining ...",220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,6,2025-04-17 01:44:54,,7,Market Liquidity
6,amberdata.io/contact-us | PAGE 7 Fast-moving APIs Many trading venues (CEX & DEX) cross the world Bu...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,7,2025-04-17 01:44:54,,3,Quant Finance / Simons
7,PAGE 8 | THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS data requires building and maintai...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,8,2025-04-17 01:44:54,,3,Quant Finance / Simons
8,"amberdata.io/contact-us | PAGE 9 To get to market as fast as possible, it is important to pick a pro...",220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,9,2025-04-17 01:44:54,,3,Quant Finance / Simons
9,PAGE 10 | THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS On-Chain Data For on-chain data m...,220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,10,2025-04-17 01:44:54,,3,Quant Finance / Simons
10,"amberdata.io/contact-us | PAGE 11 Hopefully, this eBook has made a few things clear: • You’ll need c...",220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,11,2025-04-17 01:44:54,,3,Quant Finance / Simons
